Time,Shake Detector Input
0,9.822135715
1,9.827917226
1,9.790454024
2,9.800376881
3,9.834026795
4,9.81041783
5,9.785576835
5,9.819927393
6,9.830688735
7,9.791839204
8,9.797050219
9,9.833580121
9,9.813108478
10,9.78510935
11,9.816748036
12,9.831442875
13,9.794365472
13,9.795012864
14,9.832518701
15,9.815679956
16,9.785676982
17,9.813633119
17,9.833045764
18,9.796148274
19,9.792349514
20,9.831093378
21,9.819120225
21,9.785786938
22,9.811441943
23,9.834438723
24,9.79896367
25,9.79029545
25,9.828734252
26,9.821897016
27,9.786522825
28,9.807847317
29,9.834229761
29,9.802495448
30,9.789085044
31,9.827138342
32,9.824699181
33,9.787322719
33,9.805470361
34,9.835183577
35,9.805288675
36,9.787507241
37,9.824932468
37,9.826814845
38,9.788842015
39,9.802053917
40,9.834514172
41,9.808065915
41,9.786129521
42,9.821804773
43,9.828476433
44,9.790319045
45,9.79902291
45,9.83445179
46,9.81068912
47,9.785782442
48,9.818639468
49,9.83090891
49,9.793100122
50,9.796491617
51,9.833193327
52,9.814078204
53,9.7856405
53,9.816530242
54,9.832601792
55,9.795001685
56,9.794221409
57,9.831660948
57,9.817019201
58,9.785684493
59,9.813849703
60,9.833091325
